Personne;1100;https://selectra.info/energie/guides/conso/appareils-electriques
Four ;365;
Telephone;3,65;
Ordinateur;600;
Frigo;200;
Ampoule;110;
Machine a laver ;1150;
Aspirateur;150;
TV;110;
